Category,Product Name,Image URL,Regular Price,Sale Price
Fruit Plants,Mango Kesar Plant (Grafted) - Hybrid Fruit Plant,https://plantsguru.com/cdn/shop/files/mango-kesar-plant.jpg?v=1738442682&width=1100,Rs. 799.00,From Rs. 549.00
Fruit Plants,Jackfruit Plant (Grafted) - Kathal ↑ 2.5ft | Early fruiting - perfect for home gardens,https://plantsguru.com/cdn/shop/files/jackfruit-plant-grafted.jpg?v=1741504635&width=1100,Rs. 129.00,
Fruit Plants,All Time Mango Plant (Grafted) – Year-Round Fruiting Mango Tree,https://plantsguru.com/cdn/shop/files/plantsguru-fruitplants-mango-hapus_20266f14-0633-4bfd-9fd0-ba62300d8062.jpg?v=1735616562&width=1100,"Rs. 1,599.00",Rs. 799.00
Fruit Plants,Avocado Grafted Fruit Plant,https://plantsguru.com/cdn/shop/files/pg-avocado-grafted.jpg?v=1739982250&width=1100,"Rs. 1,599.00",Rs. 849.00
Fruit Plants,Mango Miyazaki Plant (Grafted) - Japanese Mango Tree,https://plantsguru.com/cdn/shop/files/pg-miyazaki-mango-plant.jpg?v=1735616535&width=1100,"Rs. 3,599.00","Rs. 2,599.00"
Fruit Plants,"Kaffir Lime Plant - Makrut lime, Thai Lime",https://plantsguru.com/cdn/shop/files/kaffir-lime.jpg?v=1735616869&width=1100,Rs. 999.00,Rs. 699.00
Fruit Plants,Surinam Cherry Plant - Eugenia Uniflora,https://plantsguru.com/cdn/shop/files/pg-suriname-cherry.jpg?v=1735616538&width=1100,Rs. 129.00,
Fruit Plants,"Lasoda Plant (grafted) - Bhokar, Gum Berry, Glue Berry | Hybrid Fruit Plant",https://plantsguru.com/cdn/shop/files/pg-gumberry-plant.jpg?v=1735616534&width=1100,Rs. 129.00,
Fruit Plants,Yelakki (Elaichi) Banana Plant - Elaichi Kela Plant,https://plantsguru.com/cdn/shop/files/pg-elaichi-kela.jpg?v=1735616558&width=1100,Rs. 129.00,
Fruit Plants,Red Banana Plant,https://plantsguru.com/cdn/shop/files/pg-banana-red.png?v=1735616559&width=1100,Rs. 129.00,
Fruit Plants,"Imli Plant Grafted - Tamarind, Tamarindus indica",https://plantsguru.com/cdn/shop/files/pg-tamarind-grafted.jpg?v=1735616581&width=1100,Rs. 129.00,
Fruit Plants,"Kawath Plant, Kavath, Kapittha, Wood Apple - Limonia Acidissima",https://plantsguru.com/cdn/shop/files/Kavath_Kovit_Kaith_Kapittha_Wood_Apple.jpg?v=1741245339&width=1100,Rs. 399.00,Rs. 299.00
Plants,Haworthia Attenuata Succulent Plant,https://plantsguru.com/cdn/shop/files/pg-haworthia-attenuata_c01611ae-5835-42ab-98a2-c6319d4eafe1.jpg?v=1736165733&width=1100,Rs. 129.00,
Plants,Crassula Ovata Plant,https://plantsguru.com/cdn/shop/files/crassula-ovata.jpg?v=1735617991&width=1100,Rs. 399.00,Rs. 199.00
Plants,Areca Palm Plant - Indoor Air Pufier Plant (pot included),https://plantsguru.com/cdn/shop/files/areca-palm_1.jpg?v=1735616641&width=1100,Rs. 349.00,Rs. 299.00
Plants,Peace Lily Plant - Spathiphyllum,https://plantsguru.com/cdn/shop/files/peace-lily-cozy-room.jpg?v=1735618520&width=1100,Rs. 449.00,Rs. 299.00
Plants,Jade Plant - Indoor Good Luck Succulent,https://plantsguru.com/cdn/shop/files/jade-small-plant.jpg?v=1747116914&width=1100,Rs. 199.00,From Rs. 129.00
Plants,Odomos Plant - Medicinal Geranium - Mosquito Repellent Plant,https://plantsguru.com/cdn/shop/files/odomos-plant.jpg?v=1736584057&width=1100,Rs. 129.00,
Plants,Money Plant Marble Queen - Indoor Plant,https://plantsguru.com/cdn/shop/files/Money-Plant-Marble-Queen-Photoroom.webp?v=1735616800&width=1100,Rs. 299.00,Rs. 249.00
Plants,"Money Plant - Golden Pothos, Devil ivy",https://plantsguru.com/cdn/shop/files/money-plant-green.jpg?v=1735618184&width=1100,Rs. 129.00,
Plants,Money Plant Golden with Hanging Basket Big,https://plantsguru.com/cdn/shop/files/money-plant-golden-hanging.jpg?v=1735616897&width=1100,Rs. 129.00,
Plants,Money Plant Marble with Hanging Basket Big,https://plantsguru.com/cdn/shop/files/hanging-money-plant-marble.jpg?v=1735616893&width=1100,Rs. 129.00,
Plants,Christmas Cactus White Flower Plant,https://plantsguru.com/cdn/shop/files/christmas_cactus_4_inch_pot_white.jpg?v=1735616696&width=1100,Rs. 129.00,
Plants,2 Layer Lucky Bamboo with Ceramic Pot,https://plantsguru.com/cdn/shop/files/lucky-bamboo-ceramic-pot.jpg?v=1735616656&width=1100,Rs. 129.00,
Seeds,"Tuberose, Rajnigandha single Bulb (Pack of 6 Bulb)",https://plantsguru.com/cdn/shop/files/Tube_20Rose_20_28Rajnigandha_29-Pack_20of_2012_20bulbs.jpg?v=1735618537&width=1100,Rs. 129.00,
Seeds,Cherry Tomato (100 seeds) - omaxe seeds,https://plantsguru.com/cdn/shop/files/plants-guru-vegetable-seeds-Cherry-Tamato.jpg?v=1735617603&width=1100,Rs. 129.00,
Seeds,Amaryllis Lily Bulb Red (Pack of 3),https://plantsguru.com/cdn/shop/files/plants-guru-flowering-bulbs-amaryllis-lily-red.jpg?v=1735617917&width=1100,Rs. 129.00,
Seeds,Rainbow Rose Seeds - Pack of 5 Seeds,https://plantsguru.com/cdn/shop/files/plants-guru-special-seeds-rose-rainbow.jpg?v=1735617963&width=1100,Rs. 129.00,
Seeds,"Dahlia Bulbs, Mix Color (Pack of 3 Bulb)",https://plantsguru.com/cdn/shop/files/plants-guru-flowering-bulbs-gladiolus-dahlia-mix.jpg?v=1735617914&width=1100,Rs. 129.00,
Seeds,"Zephyranthes Bulbs (Pink, 5 Bulb) - Rain Lily Bulbs",https://plantsguru.com/cdn/shop/files/pg-zephyranthes-lily-pink.jpg?v=1735617216&width=1100,Rs. 129.00,
Seeds,Blue Rose Seeds - Pack of 5 Seeds,https://plantsguru.com/cdn/shop/files/plants-guru-special-seeds-rose-blue-seeds.jpg?v=1735617966&width=1100,Rs. 129.00,
Seeds,Black Rose Seeds - Pack of 5 Seeds,https://plantsguru.com/cdn/shop/files/plants-guru-special-seeds-rose-black-seeds.png?v=1735617964&width=1100,Rs. 129.00,
Seeds,Chilli F1 Crypton-10 (50 seeds) - omaxe seeds,https://plantsguru.com/cdn/shop/files/plants-guru-vegetable-seeds-Chilli-F1-Crypton-10.jpg?v=1735617581&width=1100,Rs. 129.00,
Seeds,"Zephyranthes Bulbs (Yellow, 5 Bulb) - Rain Lily Bulbs",https://plantsguru.com/cdn/shop/files/pg-zephyranthes-lily-yellow.jpg?v=1735617217&width=1100,Rs. 129.00,
Seeds,France Beans Seeds 8gm | Sunrise,https://plantsguru.com/cdn/shop/files/France_Beans_Seeds.jpg?v=1743441126&width=1100,Rs. 30.00,Rs. 20.00
Seeds,Caladium Mix Bulbs (Pack of 3 Bulbs),https://plantsguru.com/cdn/shop/files/plantsguru-caladium-red-ruffles.jpg?v=1735617567&width=1100,Rs. 129.00,
Fertilizers,Sea Vital 100ML + Neem++ 100ML Complete Garden Care Combo,https://plantsguru.com/cdn/shop/files/neem_seavital-combo.jpg?v=1768563978&width=1100,Rs. 448.00,Rs. 249.00
Fertilizers,Sea Vital 100ML | 100% Organic Seaweed Extract Liquid Fertilizer for All Plants,https://plantsguru.com/cdn/shop/files/sea-vital.jpg?v=1768469683&width=1100,Rs. 249.00,Rs. 149.00
Fertilizers,Neem++ 100ML | 100% Organic Neem Oil for Plants Protection | 1500 PPM | Concentrated | Water Soluble,https://plantsguru.com/cdn/shop/files/neem-oil-100ml.jpg?v=1768038805&width=1100,Rs. 199.00,Rs. 149.00
Fertilizers,Soil Conditioner 1kg,https://plantsguru.com/cdn/shop/files/Plantsguru-fertilizers-stear-meal_2f2b5286-35a4-48eb-bf7b-788b6780b16d.jpg?v=1735621394&width=1100,Rs. 129.00,
Fertilizers,Perlite Fertilizers - 500gm,https://plantsguru.com/cdn/shop/files/pg-Perlite_7e2bd283-57d7-43f9-96b9-d899c75c8aa4.jpg?v=1735621346&width=1100,Rs. 129.00,
Fertilizers,Pumice Stone - 1Litre,https://plantsguru.com/cdn/shop/files/pg-pumice-stone_1b17e8dd-e6f7-4b17-8c2f-9a458c3f7aa6.jpg?v=1735621343&width=1100,Rs. 129.00,
Fertilizers,Sphagnum Moss Dry Moss 250g,https://plantsguru.com/cdn/shop/files/dry_20moss_5111c977-aed2-476b-9e67-e7c76d52031d.jpg?v=1735621335&width=1100,Rs. 129.00,
Fertilizers,Sphagnum Moss Dry Moss 500g,https://plantsguru.com/cdn/shop/files/dry_20moss_32d1a8ec-6d4b-48ff-b44c-64e2c8b0e828.jpg?v=1735621332&width=1100,Rs. 129.00,
Fertilizers,"Coco Soil - Coco Peat, Coco Powder (1KG)",https://plantsguru.com/cdn/shop/files/pg-cocopeat-powder-1kg.jpg?v=1735616778&width=1100,Rs. 129.00,
Fertilizers,Coco Chips - 5KG Brick,https://plantsguru.com/cdn/shop/files/pg-coco-chips_3bd5f3ad-2746-480c-ae4f-5eeaf3698778.jpg?v=1735616779&width=1100,Rs. 129.00,
Fertilizers,Bonsai Potting Mix (1kg) - Bonsai Soil,https://plantsguru.com/cdn/shop/files/pg-potting-mix_425a4b15-bfcf-4802-a535-43d7e9efed0a.jpg?v=1735617282&width=1100,Rs. 129.00,
Fertilizers,Orchid Potting Mix (1kg),https://plantsguru.com/cdn/shop/files/pg-potting-mix.jpg?v=1735621390&width=1100,Rs. 129.00,
Garden Decor,Moss Stick (2Feet),https://plantsguru.com/cdn/shop/files/pg-moss-stick_5a119637-7248-4b2f-912e-3b695adeb056.jpg?v=1735617360&width=1100,Rs. 129.00,
Garden Decor,Moss Stick (4Feet),https://plantsguru.com/cdn/shop/files/pg-moss-stick_7e2c6601-e544-40df-918f-73fc9a3a4534.jpg?v=1735617357&width=1100,Rs. 129.00,
Garden Decor,Moss Stick (1Feet),https://plantsguru.com/cdn/shop/files/pg-moss-stick.jpg?v=1735617361&width=1100,Rs. 129.00,
Garden Decor,Moss Stick (2.5Feet),https://plantsguru.com/cdn/shop/files/pg-moss-stick_a815df4f-4ec4-425e-8c76-649edd90175d.jpg?v=1735617359&width=1100,Rs. 129.00,
Garden Decor,Moss Stick (3Feet),https://plantsguru.com/cdn/shop/files/pg-moss-stick_8f5b630f-5e5d-4b93-8957-0cca90da3f15.jpg?v=1735617358&width=1100,Rs. 129.00,
Garden Decor,Bypass Pruner Garden Tool,https://plantsguru.com/cdn/shop/files/8-Bypass-Pruner-Pruning-Secateurs-Shears-Garden.jpg_350x350_239efbc3-44a0-4769-b65f-a8b585a7ae0e.jpg?v=1735617124&width=1100,Rs. 129.00,
Garden Decor,Garden Tool Set of 4,https://plantsguru.com/cdn/shop/files/garden-tool-set-of-4.jpg?v=1735617126&width=1100,Rs. 129.00,
Garden Decor,Geo Fabric Grow Bag Round | 400 GSM,https://plantsguru.com/cdn/shop/files/pg-grow-bag-red.jpg?v=1744034584&width=1100,Rs. 799.00,From Rs. 199.00
Garden Decor,Geo Fabric Grow Bag Round 1,https://plantsguru.com/cdn/shop/files/geo-planter-with-handel.jpg?v=1735617109&width=1100,Rs. 129.00,
Garden Decor,Geo Fabric Grow Bag Round 2,https://plantsguru.com/cdn/shop/files/geo-planter-with-handel_e6537ebe-0565-4e8a-87ca-6ff49d86a8b5.jpg?v=1735617108&width=1100,Rs. 129.00,
Garden Decor,Hanging Bird Feeder,https://plantsguru.com/cdn/shop/files/bird-feeder.jpg?v=1735617131&width=1100,Rs. 129.00,
Garden Decor,Geo Fabric Grow Bag Round 3,https://plantsguru.com/cdn/shop/files/geo-planter-with-handel_b4ae4290-76f2-457d-a0cd-be16613898ab.jpg?v=1735617107&width=1100,Rs. 129.00,
All Plants,Hibiscus Orange Two In One,https://santhionlineplants.com/cdn/shop/files/3-Hibiscus-Orange-Two-In-One.webp?v=1756709574&width=533,Rs. 129.00,Rs. 59.00
All Plants,Fragrant & Attractive Parijatham Plant small (Gardenia),https://santhionlineplants.com/cdn/shop/files/Parijatham-Plant-Gardenia-1-1.jpg?v=1756718186&width=533,Rs. 129.00,Rs. 42.00
All Plants,Star Jasmine : Colorful Colour Kagattan,https://santhionlineplants.com/cdn/shop/files/Stare-Jasmine-Color-Kagattan-1.jpg?v=1756716823&width=533,Rs. 129.00,Rs. 45.00
All Plants,Pune Parijatham-Gandhraj,https://santhionlineplants.com/cdn/shop/files/Pune-Parijatham-Gandhraj-3.jpg?v=1756718744&width=533,Rs. 129.00,Rs. 69.00
All Plants,Ixora Sandal Plant,https://santhionlineplants.com/cdn/shop/files/Ixora-Sandal-Plant-3.jpg?v=1756712347&width=533,Rs. 129.00,Rs. 45.00
All Plants,Excellent Taiwan Pink Guava Plant,https://santhionlineplants.com/cdn/shop/files/Taiwan-pink-guava-1-600x338.webp?v=1757159205&width=533,Rs. 129.00,Rs. 69.00
All Plants,Hibiscus Sandal Design,https://santhionlineplants.com/cdn/shop/files/Hibiscus-sandals-Design-3.jpg?v=1756710497&width=533,Rs. 129.00,Rs. 49.00
All Plants,Pink december flower plant,https://santhionlineplants.com/cdn/shop/files/15c1a4af-a527-4a0a-b1b7-08e39b8e4088.jpg?v=1767435495&width=533,Rs. 129.00,Rs. 69.00
All Plants,December Poo – Bluebell Barleria,https://santhionlineplants.com/cdn/shop/files/caa0d1f9-7d42-4ed4-81c4-b6b549902e8a.jpg?v=1767436484&width=533,Rs. 129.00,Rs. 65.00
All Plants,Bulb Sampangi plant,https://santhionlineplants.com/cdn/shop/files/nurserylive-bulbs-rajnigandha-tuberose-bulbs-16969239363724_600x600_811efed0-f7f4-4fb7-905c-70b857409f0a.webp?v=1756719318&width=533,Rs. 129.00,Rs. 65.00
All Plants,L49 white guava (Lucknow49),https://santhionlineplants.com/cdn/shop/files/L49-guva.webp?v=1757159478&width=533,Rs. 65.00,
All Plants,Barleria Cristata : Perfect Lavender Stipped Design,https://santhionlineplants.com/cdn/shop/files/ed3beb2b-527a-457e-b956-80133c8abbbe.jpg?v=1767436562&width=533,Rs. 129.00,Rs. 79.00
All Plants,"Powder puff plant ""Dixie pink""",https://santhionlineplants.com/cdn/shop/files/510508_1.jpg?v=1760445072&width=533,Rs. 129.00,Rs. 49.00
All Plants,Tecoma Golden Yellow,https://santhionlineplants.com/cdn/shop/files/Tecoma-Golden-Yellow-2.jpg?v=1756719647&width=533,Rs. 129.00,Rs. 45.00
All Plants,Mini Guava Green,https://santhionlineplants.com/cdn/shop/files/Mini-Guava-Green-2-scaled.jpg?v=1756721568&width=533,Rs. 129.00,Rs. 69.00
All Plants,Ixora Red Plant,https://santhionlineplants.com/cdn/shop/files/a-2.jpg?v=1756712163&width=533,Rs. 129.00,Rs. 45.00
All Plants,Jasmine Flower : Beautiful Kodai Malli Plant,https://santhionlineplants.com/cdn/shop/files/Kodai-malli-Jasmine-flower-plant-1.jpg?v=1756715912&width=533,Rs. 129.00,Rs. 51.00
All Plants,Jasminum sambac : Beautiful Layered jasmine(Adukku Malli) plant,https://santhionlineplants.com/cdn/shop/files/adukku-malli-3-600x600.jpg?v=1756716375&width=533,Rs. 129.00,Rs. 59.00
All Plants,Mulberry fruit Plant,https://santhionlineplants.com/cdn/shop/files/Mulberry-1.webp?v=1757151809&width=533,Rs. 129.00,Rs. 59.00
All Plants,Allamanda bush yellow Plant,https://santhionlineplants.com/cdn/shop/files/Allamanda-bush-yellow-Plant-1.jpg?v=1756706094&width=533,Rs. 129.00,Rs. 55.00
Tree,Badam-Indian almond plant,https://santhionlineplants.com/cdn/shop/files/Badam_Plant_1.webp?v=1761567748&width=533,Rs. 129.00,Rs. 49.00
Tree,Kadamba Tree,https://santhionlineplants.com/cdn/shop/files/1c-1-600x600.webp?v=1758199585&width=533,Rs. 129.00,Rs. 49.00
Tree,A perfect Casuarina tree plant-Savukku Maram,https://santhionlineplants.com/cdn/shop/files/WhatsApp-Image-2023-08-27-at-11.37.55-PM-600x600.jpg?v=1756721758&width=533,Rs. 129.00,Rs. 20.00
Tree,Divine Powerful Elaeocarpus ganitrus – Panchmukhi Rudraksha tree,https://santhionlineplants.com/cdn/shop/files/3a441a709f550accd6a6e45580e17d09.jpg?v=1756721364&width=533,Rs. 129.00,Rs. 89.00
Tree,Lakshmi tree-Simarouba Glauca,https://santhionlineplants.com/cdn/shop/files/Lakshmi-tree-Simarouba-Glauca-1-600x600.jpg?v=1756721841&width=533,Rs. 129.00,Rs. 45.00
Tree,Bamboo plant,https://santhionlineplants.com/cdn/shop/files/Black_Bamboo_3_FGT.jpg?v=1760011987&width=533,Rs. 129.00,Rs. 120.00
Tree,Strong Mahogany Tree,https://santhionlineplants.com/cdn/shop/files/7-600x600_724b9488-68c9-40a7-a64b-b7a6df229724.jpg?v=1756721665&width=533,Rs. 129.00,Rs. 49.00
Tree,Morinda Citrifolia-Manjanathi-Nuna,https://santhionlineplants.com/cdn/shop/files/10.jpg?v=1756778048&width=533,Rs. 129.00,Rs. 49.00
Tree,Perfect Plant tissue culture -Teak plant(TG 5),https://santhionlineplants.com/cdn/shop/files/8cecd0ce-ed8f-4525-821b-28d8f4aeedb3.jpg?v=1756721574&width=533,Rs. 129.00,Rs. 120.00
Tree,Green Mini Bamboo Plant,https://santhionlineplants.com/cdn/shop/files/images_49.jpg?v=1760100326&width=533,Rs. 129.00,Rs. 89.00
Tree,Teak plant,https://santhionlineplants.com/cdn/shop/files/images_42.jpg?v=1759818361&width=533,Rs. 129.00,Rs. 59.00
Tree,Nilambur teak plant,https://santhionlineplants.com/cdn/shop/files/product_8db4f521-bc0f-4768-87f4-b3f4951d1d4e.jpg?v=1760446125&width=533,Rs. 129.00,Rs. 59.00
Tree,Silver Oak Plant,https://santhionlineplants.com/cdn/shop/files/images_32.jpg?v=1759580908&width=533,Rs. 129.00,Rs. 56.00
Tree,Acacia Auriculiformis-earleaf Acacia,https://santhionlineplants.com/cdn/shop/files/images_18.jpg?v=1759391349&width=533,Rs. 129.00,Rs. 55.00
Bulbs and Seeds,Beautiful butterfly pea flower pink multipetaled flower seeds,https://santhionlineplants.com/cdn/shop/files/WhatsApp-Image-2025-04-17-at-3.30.58-PM-e1744884432952.webp?v=1757397457&width=533,Rs. 129.00,Rs. 69.00
Bulbs and Seeds,Double colour Cosmos pink with yellow shade flowers seeds,https://santhionlineplants.com/cdn/shop/files/IMG20250424102932-Copy.jpg?v=1763120646&width=533,Rs. 129.00,Rs. 59.00
Bulbs and Seeds,Attractive Gomphrena plant lady lavender flower seeds,https://santhionlineplants.com/cdn/shop/files/lady_lavender_gomphrena.jpg?v=1769257964&width=533,Rs. 129.00,Rs. 59.00
Bulbs and Seeds,Clitoria Sangu Poo White Seeds,https://santhionlineplants.com/cdn/shop/files/Clitoria-Ternatea-Plant-White-vellai-Sangu-Poo.jpg?v=1756641181&width=533,Rs. 129.00,Rs. 49.00
Bulbs and Seeds,Sangu Poo Baby Purple Flower Seeds,https://santhionlineplants.com/cdn/shop/files/2b_d7b3d4f8-1278-4980-92f6-43833d411962.webp?v=1756641725&width=533,Rs. 129.00,Rs. 59.00
Bulbs and Seeds,Cypress Vine Pink Flower Seeds,https://santhionlineplants.com/cdn/shop/files/cv.webp?v=1756641395&width=533,Rs. 129.00,Rs. 50.00
Bulbs and Seeds,Clitoria Sangu poo Baby Pink Double Petaled Seeds,https://santhionlineplants.com/cdn/shop/files/WhatsApp-Image-2024-08-09-at-1.01.31-PM-e1756210307865.jpg?v=1756641100&width=533,Rs. 129.00,Rs. 59.00
Bulbs and Seeds,Beautiful Impatiens balsamina -Balsam red double layered flower seeds,https://santhionlineplants.com/cdn/shop/files/61Rc2CBua1L._AC_UF10001000_QL80__1.webp?v=1756639114&width=533,Rs. 129.00,Rs. 50.00
Bulbs and Seeds,Palak seeds,https://santhionlineplants.com/cdn/shop/files/Palak-seeds.jpg?v=1756642379&width=533,Rs. 129.00,Rs. 45.00
Bulbs and Seeds,Purple Thai balsam flower seeds,https://santhionlineplants.com/cdn/shop/files/purplethaibalsam_56c0c858-cdd6-4766-a002-36aa1f3610ac.jpg?v=1756892939&width=533,Rs. 129.00,Rs. 60.00
Bulbs and Seeds,Bright Yellow Cosmos Flower Seeds : Sunshine @ garden,https://santhionlineplants.com/cdn/shop/files/WhatsApp-Image-2025-05-03-at-9.56.42-AM-e1746246928155.jpg?v=1756640025&width=533,Rs. 129.00,Rs. 49.00
Bulbs and Seeds,Green long okra seeds,https://santhionlineplants.com/cdn/shop/files/download-26.jpg?v=1756646464&width=533,Rs. 129.00,Rs. 45.00
Bulbs and Seeds,Cluster Bean Seeds,https://santhionlineplants.com/cdn/shop/files/Cluster-Beans.webp?v=1756645944&width=533,Rs. 129.00,Rs. 40.00
Bulbs and Seeds,Cosmos fluorescent yellow seeds,https://santhionlineplants.com/cdn/shop/files/IMG20250922093031.jpg?v=1761367990&width=533,Rs. 129.00,Rs. 49.00
Bulbs and Seeds,Agaththi keerai seeds (white flowers),https://santhionlineplants.com/cdn/shop/files/download-6.jpg?v=1756641984&width=533,Rs. 129.00,Rs. 49.00
Bulbs and Seeds,Chedi Avarai Seeds,https://santhionlineplants.com/cdn/shop/files/dolichos-seed-lab-lab-beans-chedi-avarai-seed.webp?v=1776153857&width=533,Rs. 129.00,Rs. 50.00
Bulbs and Seeds,Most Beautiful Asian Dot Aparajita Flower – Sangu poo seeds,https://santhionlineplants.com/cdn/shop/files/WhatsApp-Image-2025-06-23-at-5.02.09-PM_2.webp?v=1757393925&width=533,Rs. 129.00,Rs. 120.00
Bulbs and Seeds,Tuberose white multipetal bulb (Pearl),https://santhionlineplants.com/cdn/shop/files/684a9c4b-b30c-4173-ad7d-b31ce4b6d675.jpg?v=1760358006&width=533,Rs. 129.00,Rs. 179.00
Bulbs and Seeds,Cypress vine white flower seeds,https://santhionlineplants.com/cdn/shop/files/616YpNQcB1L._AC_UF8941000_QL80_-e1743055636160.jpg?v=1756641453&width=533,Rs. 129.00,Rs. 59.00
Bulbs and Seeds,Beautiful Zinnia seeds mixed – Various colourful flowers,https://santhionlineplants.com/cdn/shop/files/zinnia2.webp?v=1756639747&width=533,Rs. 129.00,Rs. 69.00
